#-------------------------------------------
# Food Diary Report - Daily Summary,"domingo, octubre 1, 2023","martes, octubre 31, 2023"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1689,"51,61","167,32","140,08"
Desayuno,60,"1,89","6,13","4,69"
Almuerzo,541,"21,64","43,04","43,58"
Cena,436,"13,2","31,86","43,8"
Pasa Bocas / Otros,651,"14,88","86,29","48,01"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)
"domingo, octubre 1, 2023",1109,"23,49","7,328","83,55","8,88","10,55","139,5","1752,62",235,1878
"lunes, octubre 2, 2023",1371,"28,35","6,431","169,26","14,6","45,93","113,94",1540,163,2158
"martes, octubre 3, 2023",1328,"43,36","13,387","145,23","22,25","57,05","98,04","1609,83",358,2381
"miércoles, octubre 4, 2023",1851,"52,45","11,899","205,32","20,95","95,14","150,34","1693,83",717,2634
"jueves, octubre 5, 2023",1847,"48,32","6,454","217,13","21,8","41,66","91,67",1735,295,1816
"viernes, octubre 6, 2023",1649,"70,75","19,727","143,56","18,75","43,07","116,71","1960,83",619,3447
"sábado, octubre 7, 2023",2408,"59,69","22,894","363,19","11,4","96,78","115,34",1788,84,774
"domingo, octubre 8, 2023",1538,"28,09","5,365","142,38","26,71","69,87","186,9","2440,48",319,5022
"lunes, octubre 9, 2023",1398,"27,78","7,023","121,14","19,3","57,1","165,84","1929,62",547,2826
"martes, octubre 10, 2023",1403,"37,92","9,498","132,6","9,1","56,14","136,03","1461,43",295,1070
"miércoles, octubre 11, 2023",1393,"38,08","8,542","146,02",13,"34,25","118,91",2070,260,2023
"jueves, octubre 12, 2023",2319,"94,58","40,236","232,9","19,2","54,04","138,27",3761,292,2717
"viernes, octubre 13, 2023",1713,"45,48","5,486","176,84","13,7","22,02","157,13",2246,0,1504
"sábado, octubre 14, 2023",1788,"46,05","10,554","146,74","16,1","25,26","201,6",3132,279,3083
"domingo, octubre 15, 2023",3045,"163,71","63,925","216,07","18,6","76,07","173,02",4611,129,633
"lunes, octubre 16, 2023",1904,"52,39","17,913","149,93",16,"59,72","208,02",2421,349,2561
"martes, octubre 17, 2023",646,"16,83","3,947","52,53","8,8","10,03","70,06","796,43",295,1131
Total,28710,"877,32","260,609","2844,39","279,14","854,68","2381,32","36949,07",5236,37658
