Fecha;Dias_Transcurridos;Peso;Grasa %;Musculo %;BMI;Grasa visceral;Metabolismo;Agua;Calorias(kcal);Grasa(g);Sat(g);Carbh(g);Fibra(g);Azucar(g);Proteina(g);Sodio(g);Colesterol(mg);potasio(mg)
2023-08-23;57;75.8;23.3;55.3;25.6;11.0;1645.0;54.2;1505.0;49.55;14.778;137.26;18.4;62.72;135.21;1834.18;618.0;2563.0
2023-08-25;59;75.3;22.7;55.2;25.4;10.8;1640.0;54.4;1397.0;37.43;7.039;149.2;18.34;41.83;121.58;1479.62;321.0;1928.06
2023-08-26;60;74.6;22.8;54.7;25.2;10.5;1625.0;54.3;1886.0;70.7;16.396;198.91;15.64;41.87;117.06;1996.62;470.0;400.06
2023-08-27;61;74.8;22.7;54.9;25.3;10.5;1633.0;54.4;2056.0;98.1;7.865;133.44;5.5;2.8;156.64;3710.0;159.7;605.0
2023-08-28;62;74.9;22.8;54.9;25.3;10.5;1632.0;54.4;1670.0;42.35;7.626;149.07;33.12;64.91;186.11;2941.3;367.0;3077.0
2023-08-29;63;74.8;23.1;54.5;25.3;11.0;1620.0;54.1;1762.0;53.56;11.738;214.86;20.1;60.17;114.63;2017.0;198.0;1228.0
2023-08-30;64;74.8;23.1;54.5;25.3;11.0;1620.0;54.1;1593.0;56.25;22.656;195.02;32.5;39.93;107.35;1722.0;99.0;2456.0
2023-08-31;65;74.9;23.0;54.8;25.3;11.0;1627.0;54.2;1681.0;60.91;13.495;161.4;18.8;37.47;125.05;2242.0;463.0;1076.0
2023-09-01;66;74.5;22.8;54.6;25.2;10.5;1623.0;54.3;1024.0;19.67;4.149;84.99;18.3;29.97;129.98;2224.0;252.0;2224.0
2023-09-02;67;74.3;22.8;54.4;25.1;10.5;1617.0;54.3;1320.0;32.24;6.094;121.73;12.93;10.52;129.23;6552.33;422.0;1037.0
2023-09-03;68;74.5;22.4;55.0;25.2;10.0;1634.0;54.6;3220.0;80.54;35.68;397.74;24.7;120.25;225.34;4245.0;614.0;1274.0
2023-09-07;72;73.7;22.6;54.0;24.9;10.5;1605.0;54.3;1338.0;30.49;6.365;96.32;18.9;27.96;168.2;1782.75;464.0;2478.0
2023-09-08;73;73.8;22.3;54.6;24.9;10.0;1619.0;54.7;1838.0;45.83;12.837;174.03;14.3;40.43;173.16;2481.0;287.0;1173.0
2023-09-09;74;73.7;22.3;54.8;25.0;10.0;1626.5;54.7;1988.0;68.68;21.217;203.7;13.4;55.26;143.04;2397.0;234.0;2580.0
2023-09-10;75;74.4;22.3;55.0;25.1;10.0;1634.0;54.7;1602.0;35.02;7.714;105.79;17.0;37.98;212.96;3058.0;402.7;2953.0
2023-09-11;76;74.2;21.9;55.2;25.1;9.8;1638.0;55.0;1022.0;24.28;4.734;121.79;6.3;2.27;78.14;851.0;50.0;262.0
2023-09-13;78;74.1;22.5;54.5;25.0;10.5;1618.0;54.4;1569.0;49.6;21.598;163.68;16.4;51.15;123.5;2075.0;404.0;2263.0
2023-09-15;80;73.7;22.2;54.4;24.9;10.0;1616.0;54.6;2090.0;88.78;35.478;205.67;16.0;68.1;102.55;1940.0;528.0;2647.0
2023-09-16;81;73.3;22.2;54.1;24.8;10.0;1606.0;54.6;1518.0;36.43;7.839;166.32;28.8;70.32;142.68;2794.0;590.0;4021.0
2023-09-17;82;73.4;22.0;54.4;24.8;10.0;1613.0;54.7;1690.0;40.55;9.609;125.6;12.4;36.53;201.04;2884.5;827.0;3206.0
