Fecha;Dias_Transcurridos;Peso;Grasa %;Musculo %;BMI;Grasa visceral;Metabolismo;Agua;Calorias(kcal);Grasa(g);Sat(g);Carbh(g);Fibra(g);Azucar(g);Proteina(g);Sodio(g);Colesterol(mg);potasio(mg)
2023-09-08;73;73.8;22.3;54.6;24.9;10.0;1619.0;54.7;1838.0;45.83;12.837;174.03;14.3;40.43;173.16;2481.0;287.0;1173.0
2023-10-07;102;72.9;22.2;53.6;24.6;10.5;1589.0;54.5;2408.0;59.69;22.894;363.19;11.4;96.78;115.34;1788.0;84.0;774.0
2023-09-02;67;74.3;22.8;54.4;25.1;10.5;1617.0;54.3;1320.0;32.24;6.094;121.73;12.93;10.52;129.23;6552.33;422.0;1037.0
2023-10-15;110;73.6;21.2;55.0;24.3;9.5;1628.0;55.0;3045.0;163.71;63.925;216.07;18.6;76.07;173.02;4611.0;129.0;633.0
2023-09-29;94;73.4;21.7;54.7;24.8;9.5;1620.0;55.0;4962.0;227.6;100.047;591.0;33.9;118.8;133.88;5892.0;390.0;1248.0
2023-09-26;91;73.2;21.9;54.3;24.7;10.0;1612.0;54.8;1698.0;70.67;26.299;135.61;10.0;49.63;130.22;2193.6;224.0;2020.0
2023-09-09;74;73.7;22.3;54.8;25.0;10.0;1626.5;54.7;1988.0;68.68;21.217;203.7;13.4;55.26;143.04;2397.0;234.0;2580.0
2023-10-16;111;74.1;21.0;55.7;24.5;9.5;1649.0;55.2;1904.0;52.39;17.913;149.93;16.0;59.72;208.02;2421.0;349.0;2561.0
2023-10-13;108;73.4;21.0;55.0;24.2;9.5;1622.0;55.1;1713.0;45.48;5.486;176.84;13.7;22.02;157.13;2246.0;0.0;1504.0
2023-08-30;64;74.8;23.1;54.5;25.3;11.0;1620.0;54.1;1593.0;56.25;22.656;195.02;32.5;39.93;107.35;1722.0;99.0;2456.0
