#-------------------------------------------
# Food Diary Report - Daily Summary,"martes, agosto 1, 2023","jueves, agosto 31, 2023"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1721,"58,56","172,39","135,31"
Desayuno,42,"0,88","8,65","0,72"
Almuerzo,589,"22,35","54,91","44,86"
Cena,568,"26,02","39,62","44,2"
Pasa Bocas / Otros,522,"9,32","69,22","45,54"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)
"miércoles, agosto 23, 2023",1505,"49,55","14,778","137,26","18,4","62,72","135,21","1834,18",618,2563
"jueves, agosto 24, 2023",1935,"58,23","18,33","212,38",25,"102,89","154,15","1789,68",699,2217
"viernes, agosto 25, 2023",1397,"37,43","7,039","149,2","18,34","41,83","121,58","1479,62",321,"1928,06"
"sábado, agosto 26, 2023",1886,"70,7","16,396","198,91","15,64","41,87","117,06","1996,62",470,"400,06"
"domingo, agosto 27, 2023",2056,"98,1","7,865","133,44","5,5","2,8","156,64",3710,"159,7",605
"lunes, agosto 28, 2023",1670,"42,35","7,626","149,07","33,12","64,91","186,11","2941,3",367,3077
"martes, agosto 29, 2023",1762,"53,56","11,738","214,86","20,1","60,17","114,63",2017,198,1228
"miércoles, agosto 30, 2023",1593,"56,25","22,656","195,02","32,5","39,93","107,35",1722,99,2456
"jueves, agosto 31, 2023",1681,"60,91","13,495","161,4","18,8","37,47","125,05",2242,463,1076
Total,15485,"527,08","119,923","1551,54","187,4","454,59","1217,78","19732,4","3394,7","15550,12"
