#-------------------------------------------
# Food Diary Report - Daily Summary,"viernes, septiembre 1, 2023","sábado, septiembre 30, 2023"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Promedio Diario,Cals ( kcal),Grasa( g),Carbh( g),Prot( g)
Total,1807,"52,15","193,63","139,23"
Desayuno,56,"1,91","7,99","1,74"
Almuerzo,481,"14,78","41,34","43,49"
Cena,475,"14,54","35,48","47,17"
Pasa Bocas / Otros,796,"20,92","108,82","46,82"

#-------------------------------------------
# Report Details
#-------------------------------------------
Fecha,Cals ( kcal),Grasa( g),Sat( g),Carbh( g),Fibra( g),Az&#250;car( g),Prot( g),Sod( mg),Coles( mg),Potasio( mg)
"viernes, septiembre 1, 2023",1024,"19,67","4,149","84,99","18,3","29,97","129,98",2224,252,2224
"sábado, septiembre 2, 2023",1320,"32,24","6,094","121,73","12,93","10,52","129,23","6552,33",422,1037
"domingo, septiembre 3, 2023",3220,"80,54","35,68","397,74","24,7","120,25","225,34",4245,614,1274
"lunes, septiembre 4, 2023",893,"19,14","5,537","78,15","15,7","37,92","104,03",1521,440,2540
"martes, septiembre 5, 2023",1972,"47,51","6,502","226,57","23,72","25,74","159,71","1969,3",360,1880
"miércoles, septiembre 6, 2023",1535,"37,13","10,85","113,38","12,4","35,13","181,32",2347,619,2458
"jueves, septiembre 7, 2023",1338,"30,49","6,365","96,32","18,9","27,96","168,2","1782,75",464,2478
"viernes, septiembre 8, 2023",1838,"45,83","12,837","174,03","14,3","40,43","173,16",2481,287,1173
"sábado, septiembre 9, 2023",1988,"68,68","21,217","203,7","13,4","55,26","143,04",2397,234,2580
"domingo, septiembre 10, 2023",1602,"35,02","7,714","105,79",17,"37,98","212,96",3058,"402,7",2953
"lunes, septiembre 11, 2023",1022,"24,28","4,734","121,79","6,3","2,27","78,14",851,50,262
"martes, septiembre 12, 2023",1740,"39,67","9,047","193,23",26,"79,41","156,87",2357,518,3727
"miércoles, septiembre 13, 2023",1569,"49,6","21,598","163,68","16,4","51,15","123,5",2075,404,2263
"jueves, septiembre 14, 2023",1133,"25,41","6,264","116,52","7,2","10,74","107,62",1136,361,1172
"viernes, septiembre 15, 2023",2090,"88,78","35,478","205,67",16,"68,1","102,55",1940,528,2647
"sábado, septiembre 16, 2023",1518,"36,43","7,839","166,32","28,8","70,32","142,68",2794,590,4021
"domingo, septiembre 17, 2023",1690,"40,55","9,609","125,6","12,4","36,53","201,04","2884,5",827,3206
"lunes, septiembre 18, 2023",1505,"32,09","15,506","176,75","12,2","50,32","125,39",2555,441,1633
"martes, septiembre 19, 2023",1403,"39,64","6,013","167,21","14,6","44,43","89,6",1290,295,1215
"miércoles, septiembre 20, 2023",1434,"29,28","5,916","168,47",27,"64,99","133,38",1679,398,3861
"jueves, septiembre 21, 2023",1452,"40,2","7,894","153,31","13,41","51,53","122,67","1605,23","302,7",1947
"viernes, septiembre 22, 2023",1617,"33,6","7,128","169,58","23,7","68,24","163,19",2224,446,3366
"sábado, septiembre 23, 2023",1456,"51,29","12,591","150,73","11,2","50,21","104,65",1364,152,1757
"domingo, septiembre 24, 2023",2645,"67,3","32,506","347,25","20,72","57,12","171,23","2085,87",210,2798
"lunes, septiembre 25, 2023",1936,"49,64","9,268","171,5","14,2","30,17","198,72",5927,505,2677
"martes, septiembre 26, 2023",1698,"70,67","26,299","135,61",10,"49,63","130,22","2193,6",224,2020
"miércoles, septiembre 27, 2023",2477,"88,28","48,447","338,06","22,97","8,68","83,67","926,99",295,951
"jueves, septiembre 28, 2023",1755,"23,18","5,358","230,62","6,1","8,92","100,91",2595,98,859
"viernes, septiembre 29, 2023",4962,"227,6","100,047",591,"33,9","118,8","133,88",5892,390,1248
"sábado, septiembre 30, 2023",2385,"90,87","49,454","313,66","17,32",82,"79,92","1271,88",123,801
Total,54217,"1564,61","537,941","5808,96","511,77","1424,72","4176,8","74224,45","11252,4",63028
